path,filename,category,article_or_summary
input_data\BBC News Summary\News Articles\business\001.txt,001.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\002.txt,002.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\003.txt,003.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\004.txt,004.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\005.txt,005.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\006.txt,006.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\007.txt,007.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\008.txt,008.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\009.txt,009.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\010.txt,010.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\011.txt,011.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\012.txt,012.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\013.txt,013.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\014.txt,014.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\015.txt,015.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\016.txt,016.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\017.txt,017.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\018.txt,018.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\019.txt,019.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\020.txt,020.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\021.txt,021.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\022.txt,022.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\023.txt,023.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\024.txt,024.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\025.txt,025.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\026.txt,026.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\027.txt,027.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\028.txt,028.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\029.txt,029.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\030.txt,030.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\031.txt,031.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\032.txt,032.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\033.txt,033.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\034.txt,034.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\035.txt,035.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\036.txt,036.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\037.txt,037.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\038.txt,038.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\039.txt,039.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\040.txt,040.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\041.txt,041.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\042.txt,042.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\043.txt,043.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\044.txt,044.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\045.txt,045.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\046.txt,046.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\047.txt,047.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\048.txt,048.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\049.txt,049.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\050.txt,050.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\051.txt,051.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\052.txt,052.txt,business,News Articles
