Text	Generated Summary (USE)	Generated Summary (ST)	Original Summary
"Opera Naţională Bucureşti anunţă cu tristeţe şi profund regret că maestrul Stelian Olariu a încetat din viaţă şi transmite condoleanţe familiei. Maestrul Stelian Olariu a fost dirijorul cu cea mai lungă şi remarcabilă activitate artistică susţinută timp de 55 de ani pe scena Operei Naţionale Bucureşti”, este mesajul publicat de instituţie pe pagina de Facebook, duminică. Stelian Olariu a urmat cursuri de vioară la Timişoara, apoi a fost student al Conservatorului de Stat din Timişoara. În 1950 a venit la Bucureşti pentru a studia la Conservatorul "Ciprian Porumbescu” pedagogie şi dirijat coral. După absolvire a fost repartizat la Palatul Copiilor (Palatul Pionierilor), unde a înfiinţat Corul de Copii al Palatului, pe care l-a condus până în 1966.A compus şi tipărit o culegere de cântece pentru copii, apărută în două ediţii. În 1956, a înfiinţat Corul Studenţilor la Casa de Cultură a Studenţilor din Bucureşti.Şase ani mai târziu a fost numit asistent-maestru de cor la Opera Naţională Bucureşti (ONB), unde a colaborat cu dirijorul corului, Gheorghe Kulibin. Din anul 1963, după decesul maestrului, Stelian Olariu a preluat conducerea Corului Operei ca maestru de cor, funcţie pe care a deţinut-o până în prezent. Ca maestru de cor, a pregătit peste 120 de titluri de operă, operetă şi vocal-simfonic şi a participat la evenimente muzicale de excepţie în ţară şi străinătate. A participat la peste 8.000 de spectacole de operă (numai la Opera Naţională Bucureşti) şi a întreprins turnee în ţări precum Franţa, Germania, Anglia, Italia, Elveţia, Spania, Olanda, Belgia, Austria, Ungaria, Grecia, Iugoslavia, Bulgaria, Rusia, Japonia, Thailanda. Corul ONB a făcut, sub îndrumarea sa, şi înregistrări ale unor titluri importante precum "Oedipe”, de George Enescu, "Tosca”, de Giacomo Puccini, "La traviata”, "Rigoletto”, "Il trovatore” ("Trubadurul”), de Giuseppe Verdi, şi "La Bohéme”, de Giacomo Puccini.	Corul ONB a făcut, sub îndrumarea sa, şi înregistrări ale unor titluri importante precum "Oedipe”, de George Enescu, "Tosca”, de Giacomo Puccini, "La traviata”, "Rigoletto”, "Il trovatore” ("Trubadurul”), de Giuseppe Verdi, şi "La Bohéme”, de Giacomo Puccini.	În 1956, a înfiinţat Corul Studenţilor la Casa de Cultură a Studenţilor din Bucureşti.Şase ani mai târziu a fost numit asistent-maestru de cor la Opera Naţională Bucureşti (ONB), unde a colaborat cu dirijorul corului, Gheorghe Kulibin.	Dirijorul Stelian Olariu, cu o activitate de peste cinci decenii la Opera Naţională Bucureşti, a murit duminică, la vârsta de 88 de ani, a anunţat instituţia, potrivit News. ro.
Observator lucid al societăţii americane şi al particularităţilor ei, scriitorul născut la Newark (New Jersey) a fost menţionat cu regularitate drept posibil câştigător al premiului Nobel pentru literatură, dar nu l-a obţinut niciodată. Potrivit Reuters, Roth a fost atât apreciat, cât şi luat în derâdere pentru că a prezentat fără cosmetizare nevrozele şi obsesiile care au bântuit experinţa modernă a evreilor americani. Philip Roth a scris peste 30 de cărţi, inclusiv cartea de memorii "Patrimony" din 1991, care examinează relaţia complexă cu tatăl său şi care i-a adus Premiul Cercului naţional al criticilor de carte, şi "American Pastoral", pentru care a câştigat Premiul Pulitzer în 1998.	Observator lucid al societăţii americane şi al particularităţilor ei, scriitorul născut la Newark (New Jersey) a fost menţionat cu regularitate drept posibil câştigător al premiului Nobel pentru literatură, dar nu l-a obţinut niciodată.	Philip Roth a scris peste 30 de cărţi, inclusiv cartea de memorii "Patrimony" din 1991, care examinează relaţia complexă cu tatăl său şi care i-a adus Premiul Cercului naţional al criticilor de carte, şi "American Pastoral", pentru care a câştigat Premiul Pulitzer în 1998.	Philip Roth, unul dintre cei mai mari scriitori americani - laureat al premiului Pulitzer, a încetat din viaţă marţi, la vârsta de 85 de ani, relatează Agerpres.
Presa are atâta putere cât vrea să aibă. Este concluzia lui Adrian Sârbu, în discuția cu jurnalista Ioana Răduca despre rolul presei în societate, ce presupune meseria de jurnalist și presiunea care apasă pe umerii celor care o practică. Întrebat dacă presa este liberă, Adrian Sârbu a spus că "Este liberă și are atâta putere cât trebuie să aibă”. "România este liberă astăzi şi democratică, datorită presei. Este un statment un pic poate prea solemn, dar este o realitate naturală. E o realitate a fiecărei zile”, a adăugat Adrian Sârbu. "Presa, aşa cum ştim cu toţii, e bună atunci când avem nevoie de ea. Prin urmare, dacă politicianul vine şi îţi spune am nevoie să mă ajuţi, mai ales că sunt în opoziţie, dacă omul de business vine şi îţi spune, am nevoie să mă ajuţi, înseamnă că presa e puternică. Şi, mult mai important, dacă eu, ca jurnalist, cred în mine şi cred că ceea ce fac are rezultat, eu zic că presa este puternică. Dacă presa îşi are locul real în câmpul puterii, ăsta este un alt subiect pentru că suntem la sfârşitul unui ciclu din evoluţia democraţiei în care un număr de oameni în nişte funcţii au încercat să preia funcţia presei, să şi-o subordoneze, să o directiveze”, a mai spus Adrian Sârbu.	E o realitate a fiecărei zile”, a adăugat Adrian Sârbu. Este un statment un pic poate prea solemn, dar este o realitate naturală. Presa are atâta putere cât vrea să aibă.	Dacă presa îşi are locul real în câmpul puterii, ăsta este un alt subiect pentru că suntem la sfârşitul unui ciclu din evoluţia democraţiei în care un număr de oameni în nişte funcţii au încercat să preia funcţia presei, să şi-o subordoneze, să o directiveze”, a mai spus Adrian Sârbu.	Ziua Mondială a Libertăţii Presei este marcată, în fiecare an, la data de 3 mai. Prima dată a fost sărbătorită la Adunarea Generală a ONU din 3 mai 1993.Adrian Sârbu: „România este liberă şi democratică astăzi datorită presei”.
Simona Halep a revenit pe teren aşa cum ne-a obişnuit înainte de pandemie. Campioană la Dubai în februarie, Halep va juca acum finala la Praga. În penultimul act a trecut cu greu de Irina Begu. Aceasta a condus în primul set, însă Simona Halep a revenit şi a câştigat în tiebreak la 2. În setul secund, Irina Begu a cedat după ce mai jucase un meci astăzi iar Simona Halep s-a impus fără emoţii cu scorul de 6-3. În finală, Halep o va întâlni pe Elise Mertens. Are de luat o revanşă în faţa belgiencei. Aceasta a învins-o în 2019 în finala în Qatar. "Nu am jucat cel mai bun tenis al meu astăzi. Dar ea era şi obosită. În opinia mea a fost un meci bun şi sunt foarte fericită că l-am putut câştiga. E mereu dificil să joci contra ei. E o jucătoare grozavă. Sunt fericită pentru ea că a ajuns în semifinale şi de faptul că am jucat la acest turneu împrepună. Am ajuns până în finală în primul turneu pentru mine iar asta e bine, e un sentiment plăcut. Voi da totul pentru că vreau cu adevărat să o câştig, dar nu e niciodată uşor”, a declarat Halep la finalul meciului.	E o jucătoare grozavă. Dar ea era şi obosită. Simona Halep a revenit pe teren aşa cum ne-a obişnuit înainte de pandemie.	Aceasta a condus în primul set, însă Simona Halep a revenit şi a câştigat în tiebreak la 2. Sunt fericită pentru ea că a ajuns în semifinale şi de faptul că am jucat la acest turneu împrepună.	Simona Halep a învins-o în 2 seturi pe Irina Begu în semifinala turneului de la Praga după o oră şi jumătate de joc. Irina Begu reuşise să câştige sâmbătă dimineaţă meciul din sferturi cu Sara Sorribes Tormo. În finală, Simona Halep o va întâlni pe favorita numărul 3, belgianca Elise Mertens.
S-a tot plâns și a luat. Blue Air primește puțin peste 300 milioane de lei de la instituția de credit controlată de Finanțe – Eximbank. Asta a hotărât Guvernul. Așa că, cel mai mare transportator aerian, care are capital privat, își va mai compensa cu acești bani din pierderile cauzate de restricții. Împrumutul este garantat de stat în proporţie de 100%, inclusiv dobânzile şi comisioanele. Pentru asta, Blue Air plătește statului o primă sau un comision la fondul de risc de 2% pe an. – Comision de acordare de 0,75%, aplicabil la valoarea împrumutului – Comision de 2%, aplicabil la valoarea rambursată anticipat din împrumut – Comision de 0% pentru rambursarea anticipată a împrumutului din surse propria – Cifra de afaceri a companiei aeriene a fost de circa 2,2 miliarde de lei în 2019	Blue Air primește puțin peste 300 milioane de lei de la instituția de credit controlată de Finanțe – Eximbank. Asta a hotărât Guvernul. S-a tot plâns și a luat.	Pentru asta, Blue Air plătește statului o primă sau un comision la fondul de risc de 2% pe an. – Comision de acordare de 0,75%, aplicabil la valoarea împrumutului – Comision de 2%, aplicabil la valoarea rambursată anticipat din împrumut – Comision de 0% pentru rambursarea anticipată a împrumutului din surse propria – Cifra de afaceri a companiei aeriene a fost de circa 2,2 miliarde de lei în 2019	Eximbank împrumută Blue Air cu 300,8 milioane lei. Împrumutul este garantat de stat, în proporţie de 100%.Rata dobânzii este formată din ROBOR 12 luni, plus 4 % pe an.
Geo Marinescu, colecționar bijuterii: În cutia asta am cele mai vechi bijuterii din colecţia mea, încep cam din 1830 şi ajung cam până la 1900. Unele dintre cele mai interesante sunt aceste bijuterii chatlein-urile se numeau, în perioada respectivă erau foarte la modă cel puţin în Anglia, dar s-au regăsit şi în moda românească. Sute de brăţări, cercei, inele şi accesorii de epocă fac parte din colecţia impresionantă a lui Geo Marinescu. Deşi este descendenta unei familii de boieri care a reuşit să îşi mai păstreaze o mică parte din podoabele vechi, ea a început să fie pasionată de acestea abia acum 10 ani, atunci când l-a cunsocut pe soţul său, un colecţionar împătimit. Geo Marinescu, colecționar bijuterii: Frumuseţea lor este aceea că unele dintre ele au disparut si atunci in momentul in care le ai intr o colectie, tu ca si colectionar, ai o bucatica din perioada respectiva, ai un mic fragment de istorie in cutia ta de bijuterii. De exemplu, tipul acesta de chatlein era purtat la bal sau la dineu, pentru că era foarte practic. Doamnele puteau în poşetica asta pe care o ţineau la brâu, să ţină un pic carneţel de bal, un mic creion si evident aveau si cate un mic flacon de saruri. Cum au evoluat bijuteriile de-a lungul timpului, aflaţi duminică, de la ora 17:30, la emisiunea Bonton.	Cum au evoluat bijuteriile de-a lungul timpului, aflaţi duminică, de la ora 17:30, la emisiunea Bonton. Doamnele puteau în poşetica asta pe care o ţineau la brâu, să ţină un pic carneţel de bal, un mic creion si evident aveau si cate un mic flacon de saruri.	Unele dintre cele mai interesante sunt aceste bijuterii chatlein-urile se numeau, în perioada respectivă erau foarte la modă cel puţin în Anglia, dar s-au regăsit şi în moda românească.	Sute de bijuterii de epocă unicat se regăsesc într-o colecţie impresionantă. Geo Marinescu este colecţionara care le aduce din toată lumea. Cele mai vechi piesele sunt chiar din epoca victoriană. Întreaga poveste a unei pasiuni elegante, o aflaţi duminică, de la ora 17:30 la emisiunea Bonton.
Poate că afirmația pare una curajoasă și puternică, însă este esența naturii operei scriitorului român. Leonida Neamțu s-a născut în Basarabia și merită un loc aparte pe rafturile culturii occidentale, alături de marii creatori ai lumii stranii și personaje complexe, dar și alături de marii exploratori ai condiției umane. Editura Publisol tipărește romanele autorului Leonida Neamțu în format de "buzunar”. Scopul? În acest fel, cei care îndrăgesc lectura pot transporta și pot citi mai ușor operele scriitorului. Mai mult, editura a adaptat textul la o limbă română contemporană, iar design-ul copertelor oferă seriei un aer pop-noir. Și pentru că editura a regândit operele lui Leonida Neamțu astfel încât să se integreze perfect în perioada în care trăim, acestea pot fi oferite cadou celor dragi sau celor care iubesc cărțile bune, dar pot fi și colecționate. S-a născut în 1934, la Soroaca, iar în 1940, odată cu ocuparea Basarabiei, familia se refugiază în Maramureș, la Vișeu, iar mai apoi în Sighet. Leonida Neamțu a urmat studiile liceale, apoi cursurile Facultății de Filologie de la Universitatea din Cluj. Anul 1952 este anul său de debut cu volumul Almanahul literar, revistă coordonată de poetul A. E. Baconsky. Din anul 1964 publică exclusiv romane. Leonida Neamțu devine redactorul Almanahului literar și membru al Uniunii Scriitorilor din România. Ulterior, revista Almanahul literar își schimbă numele în Steaua. Pe 25 octombrie 1991, Leonida Neamțu se stinge din viață la Cluj-Napoca, lăsând în urmă peste 30 de volume publicate, dar și câteva manuscrise. Cărțile pot fi cumpărate de la punctele de difuzare a presei din toată țara, în fiecare zi de joi, începând cu 14 octombrie 2021. De asemenea, pot fi cumpărate și din librării, dar și din magazinele online de carte.	Scopul? Din anul 1964 publică exclusiv romane. Editura Publisol tipărește romanele autorului Leonida Neamțu în format de "buzunar”.	Editura Publisol tipărește romanele autorului Leonida Neamțu în format de "buzunar”. Leonida Neamțu devine redactorul Almanahului literar și membru al Uniunii Scriitorilor din România.	Editura Publisol vrea să redea circuitului cultural operele marilor scriitori români care au oferit vieții de dinainte de 1989 bogăție și suportabilitate. Leonida Neamțu este unul dintre autorii care revine în biblioteci, în plus față de Haralamb Zincă și Horia Tecuceanu, autori de romane polițiste și de spionaj.„Dacă ar fi fost regizor de film, Leonida Neamțu l-ar fi întrecut în succes pe David Lynch”, a spus un critic literar.
În dicţionar nu au fost incluse aproximativ 30.000 de cuvinte - diminutive, în special - a mai spus academicianul. "Limba română, ca bogaţie de vocabular şi semantică, este între primele opt limbi ale lumii şi 80% dintre cuvintele pe care le folosim în viaţa cotidiană sunt de origine latină. O parte au fost moştenite din latină prin tradiţia locală şi o parte au intrat din franceză şi engleză”, a declarat Ioan Aurel Pop. Cea mai vorbită limbă maternă din lume rămâne spaniola, iar Pop a punctat că atunci când limba chineză, care "nu este o limbă aglutinată”, va prelua prima poziţie, latinitatea va fi "în pericol”."În China sunt vorbite 60 de dialecte şi sunt recunoscute vreo 60 de minorităţi care sunt foarte diferite. Chineza există, dar e mai mult un gând încă. Când va fi chineza limba omenirii, atunci, vorba unuia dintre colegii mei, nu se va mai studia Dreptul Roman în facultăţi. Le-am spus: «Nu vă temeţi pentru latinitate, că, atâta vreme cât se studiază Dreptul Roman la facultăţile de drept, lumea nu e pierdută». Şi mi-a spus cineva că nu se mai studiază, că în unele a devenit materie facultativă. Şi atunci ne mirăm că ne pierdem memoria colectivă...”, a susţinut preşedintele Academiei. Ioan Aurel Pop a participat, vineri seară, la o dezbatere în deschiderea Festivalului de Film şi Istorii Râşnov, unde a vorbit despre Marele Război în istoriografie şi în film. Citiți și: Ce spune istoricul Lucian Boia despre limba română	Şi atunci ne mirăm că ne pierdem memoria colectivă...”, a susţinut preşedintele Academiei. Chineza există, dar e mai mult un gând încă. Citiți și: Ce spune istoricul Lucian Boia despre limba română	Când va fi chineza limba omenirii, atunci, vorba unuia dintre colegii mei, nu se va mai studia Dreptul Roman în facultăţi. Cea mai vorbită limbă maternă din lume rămâne spaniola, iar Pop a punctat că atunci când limba chineză, care "nu este o limbă aglutinată”, va prelua prima poziţie, latinitatea va fi "în pericol”.	Preşedintele Academiei Române, istoricul Ioan Aurel Pop, a anunţat că instituţia a finalizat o nouă ediţie a "Marelui Dicţional al Limbii Române", în 19 volume, cu peste 170.000 de cuvinte. El a precizat că, în urma cercetării, limba română se află - din punct de vedere al vocabularului - între primele opt limbi ale lumii, relatează News. ro.
Anul acesta, UNESCO urma să anunţe dacă Masa Tăcerii, Poarta Sărutului şi Coloana fără Sfârşit ajung în Patrimoniul Mondial. Toate demersurile au fost, însă, blocate în drumul spre Paris. Dan Vîlceanu – deputat: Până în 2021, nu se pune problema să fie introdus acest ansamblu în Patrimoniul UNESCO pentru că UNESCO trebuie să ia o decizie în legătură cu toate monumentele care au legătură cu un conflict sau un război. Dosarul "Brâncuşi” nu este singurul amânat. Ţări ca Franţa, Belgia sau Canada sunt în aceeaşi situaţie. Toate propunerile vizau situri de tip memorial. Adrian Tudor - viceprimarul oraşului Târgu Jiu: Nu putem venera nişte monumente de artă care, la rândul lor, venerează războiul. Nu este cazul celui de la Târgu Jiu, dar, din păcate, fiind un ansamblu de tip memorial, intră la grămadă. Diana Speretoiu - jurnalist Digi24: Experţii Consiliului Internaţional al Monumentelor urmau să evalueze lucrările lui Brâncuşi încă de anul trecut, însă vizita lor s-a amânat cu cel puţin trei ani. În acest timp, autorităţile de la Târgu Jiu vor să restaureze lucrările din piatră. Ultima acţiune de curăţare a sculpturilor a fost în urmă cu şase ani şi s-a lăsat cu un dosar penal, după ce capodoperele au fost spălate cu jet de apă sub presiune. Specialiştii lucrează de atunci la un proiect de întreţinere şi conservare a sculpturilor, dar au nevoie de bani să-l pună în practică. Doru Strâmbulescu - directorul Centrului Brâncuşi: Sperăm să fie finalizat în această primă parte a anului 2018, perioadă în care credem că se vor face şi primele intervenţii la opere. Vestea că operele lui Brâncuşi nu vor ajunge, cel puţin pentru moment, în Patrimoniul Mondial nu îi mai miră pe turişti:-Încercăm să zicem că n-am încercat, dar nu că încercăm cu adevărat să facem ceva pentru operele noastre.-E foarte păcat, dar cei care trebuiau să întocmească dosarul probabil că nu l-au întocmit cum trebuie.Şi în urmă cu trei ani, statul român a ratat şansa de a introduce operele lui Constantin Brâncuşi în Patrimoniul Mondial. Totul după ce a trimis la UNESCO un dosar superficial şi plin de greşeli de scriere, pe care ulterior l-a retras.	Toate propunerile vizau situri de tip memorial. Adrian Tudor - viceprimarul oraşului Târgu Jiu: Nu putem venera nişte monumente de artă care, la rândul lor, venerează războiul. Nu este cazul celui de la Târgu Jiu, dar, din păcate, fiind un ansamblu de tip memorial, intră la grămadă.	Diana Speretoiu - jurnalist Digi24: Experţii Consiliului Internaţional al Monumentelor urmau să evalueze lucrările lui Brâncuşi încă de anul trecut, însă vizita lor s-a amânat cu cel puţin trei ani.	În timp ce lucrări sculptate de Constantin Brâncuşi se vând în lumea întreagă cu zeci de milioane de euro, statul român nu reuşeşte să ducă cea mai importantă moştenire a artistului în Patrimoniul Mondial UNESCO. După mai multe încercări eşuate, Ministerul Culturii mai dă o veste proastă: dosarul este blocat cel puţin doi ani de acum înainte. De această dată, amânarea a fost decisă chiar de UNESCO.
Până acum, lumea de la 1900 era cunoscută doar din filmele alb-negru, fără sonor. Însă acum pot fi văzute filmări vechi de zeci de ani aduse în prezent. Youtuberul Denis Shiryaev se ocupă de asta. Ultimele clipuri care i-au ajuns pe mână sunt cele ale fraților Lumière din perioada 1895 – 1902. Denis le-a dat culoare, sunet și le-a dus la rezoluție 4K. Nu este singura modificare făcută.21 de filme ale fraților Lumière a transformat Shiryaev. A petrecut câteva luni pentru editare, iar montajul final are mai bine de 15 minute.	Denis le-a dat culoare, sunet și le-a dus la rezoluție 4K. Youtuberul Denis Shiryaev se ocupă de asta. Nu este singura modificare făcută.21 de filme ale fraților Lumière a transformat Shiryaev.	Nu este singura modificare făcută.21 de filme ale fraților Lumière a transformat Shiryaev. Ultimele clipuri care i-au ajuns pe mână sunt cele ale fraților Lumière din perioada 1895 – 1902.	Un youtuber a modificat 21 de filme ale fraților Lumière din perioada 1895 – 1902.El le-a transformat în filme color, le-a adăugat sunet și le-a mărit rezoluția. Montajul final prezintă mai multe momente din lumea de la acel moment.
